client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
041f464547b070670b0b531c7644f1982ec137d54ef8cc11c7bf2a8b08914bcf1c9f4f4e2da2005056e778c9361568f394e1a48711d61e2de28d3317c01fe50a	common_voice_fr_40025370.mp3	4e6f4c4d8f85291573e589a90337f14ac626d92062d87bd3d32c3a25948fe05a	De plus, il s'est troublé en entendant prononcer le nom de Joseph-le-Fou.		2	0			Français de France,enfant de 9 ans		fr	
048c79c88a232a0f77e64707bb34fca26ae4c8a339595712837eec47e8f62741b9f481449531edfc0d6dc697f98f586f746c25f0943c0b43b928852ecb5f8852	common_voice_fr_40114120.mp3	4ec8c1b997cddf08e0c430b6091c20c8b8d45dcc635061f279078f91d0e077ef	L'association avec Sergio Leone dure plusieurs années.		2	0					fr	
05aa6511d77791a90cf2c9d6b928bd506971ed073daa48ba5432fd78b8413a71d324b25fa43e587df8c8b64ed317eb7b1f90e0708772e9d3481252ded645b23f	common_voice_fr_39687706.mp3	4c702f2fe4fb588e77878baa547411d76b89ec8cf613cb30fac4a9b3e83ea0c2	Une partie de la population berlinoise restait toutefois en désaccord avec ce projet.		2	0					fr	
0742a06c79bc73144b30c6e82441bdcf383a890e8c783e8a53e6ff8158fc4947a9ab56f1e5697ae2bf3fba6869e748a912e1aa51a95b510e76ebad8fbd5c126d	common_voice_fr_39757425.mp3	4d2c46f04482afe9781af3a29bbfaf4b049a49b5d3835854e6ad513f20586f26	Par ailleurs, la communication animale est un exemple de la non-linéarité de l'évolution phylogénétique.		2	0			Français avec accent écossais 		fr	
077e40252f9d016469db3f61d76ed60b1f016e358002fd1f749706e265ae1f85a2f07f01323170ef47365810ec98501e343d3173cb5896d0b7ae2fe7b681adf1	common_voice_fr_40003594.mp3	0ac96c6667c637f642b3def1f103fa480104a8506cbff9b65eb6d3fc12e06ac2	Il avait tourné à droite, puis il redescendit.		2	0			Français de Belgique		fr	
0b2ded2f1b029d3ea48d291478acf9f60adc82546b1c82f02f2ad6835527c22af56ffd78511394807cc43024667137c8a9a960f56eae3a7ad02f797d5e4e7c6c	common_voice_fr_40118572.mp3	4ef68cd5c03e85e0f2ae140900d5fab793a78ff6a5afc5861554a52775c4de91	Que voulez-vous qu’ils fassent de nous? répondit l’Espagnol.		2	0			Français du Canada		fr	
0c807606418ac4c7799a6ca6ae77d5ccdb64d807b23cd22b7eb214bf2425e6740bf15e4428a925993b092b12680a267610f465e02296e44e2a707254ff990f01	common_voice_fr_39743478.mp3	4cf37021d875fe944e0032510cbc5d9782dbcc115985492c9236016264bdc5cf	Le bouddhisme est officiellement accepté comme religion officielle dans l'Empire russe.		3	0			Français de France		fr	
0e33b132e1980046a4f615dd8c3ae502fdf4c4ffea1121ed65da3b2281e8352935021ba5510437f1fca77a5eb57e7e20d79483f66602c724014c4243c0108388	common_voice_fr_39736511.mp3	4cbbc1bdf503bc5f0c4cd943d422d7b9350507348e0a749ec0b76b7c880b4016	Son premier sport est le ski de fond.		2	0			Français de France		fr	
1170fdcc5a51b84668d4e33edbbce70c208b08972698f29fc7db881f98e386b59e70ed9a8f9bda394d0929dc2c20fb2ca5e0089038f3e9d39a801895212d33e1	common_voice_fr_40111742.mp3	4eb508897addeca8946206050f426106a003cee5754c46becb734399cf1d26d7	Aussi le cabinet gouvernementale fut constitué principalement des représentants de partis libéraux-démocrates.		2	0					fr	
14786dc6b6639d4855e9a295b7b469132b8c1a1fae230b7375d9d1031bb9b2daab10a21705764716a0734670be9dcda3f9440b19915a82cb4b4877115db28177	common_voice_fr_39607577.mp3	4bb5ebc479f80bc3ac5b21046f910f33605c280e0319228f5df81c15bb81fc4c	Elle dispose de l'église Notre-Dame-de-l'Assomption-de-la-Très-Sainte-Vierge.		2	0					fr	
